Network,Station,Median.Corr..Angle,Mean.Corr..Angle,Stddev.Corr..Angle,N.events
Z3,A250A,-10,-10.286,9.953,7
Z3,A251A,168,168,0,1
Z3,A252A,-7,-10.375,7.777,8
Z3,A253A,-1,3.222,14.49,9
Z3,A254A,-5,2.857,11.74,7
Z3,A255A,6,6,0,1
Z3,A260A,-13.5,-15.75,11.519,4
Z3,A261A,-8.5,-7.5,6.144,8
Z3,A262A,7.5,7,2.55,4
Z3,A263A,169.5,165.333,13.852,6
Z3,A264A,-15,-13.375,6.499,8
Z3,A265A,-2,3.625,11.8,8
Z3,A266A,0,-1.6,8.015,5
Z3,A267A,-9,-6.667,8.165,9
Z3,A268A,-2,-4.286,9.572,7
Z3,A269A,-9,-14.556,17.933,9
Z3,A270A,5,-0.5,13.509,8
Z3,A271A,-14,-14,0,1
Z3,A272A,3,3,0,1
Z3,A273A,4,0.286,8.94,7
Z3,A280A,-7,-5.111,10.514,9
Z3,A281A,-10,-11.3,25.644,10
Z3,A282A,0,-4.2,8.704,5
Z3,A283B,-1,-0.889,7.37,9
Z3,A284A,-17,-15.8,9.998,10
Z3,A285A,-2,-6.111,14.955,9
Z3,A286A,2,1.25,10.756,8
Z3,A287A,-6,-7.222,13.273,9
Z3,A288A,11,11,0,2
Z3,A289A,2,-2,14.784,7
Z3,A290A,-8,-9.111,9.219,9
Z3,A291A,-16,-10.333,8.615,9
Z3,A300A,163,69.571,153.232,7
Z3,A301A,-22.5,-23.625,12.267,8
Z3,A302A,21,17,8.155,4
Z3,A303A,-8,-10.333,9.534,3
Z3,A304A,-0.5,2.25,9.23,8
Z3,A305A,-5,-3.571,12.568,7
Z3,A306A,-2.5,-5.625,7.313,8
Z3,A307A,8,10.75,10.219,8
Z3,A308A,-5,-6,11.324,9
Z3,A309A,15,9.571,8.313,7
Z3,A312A,-16.5,-14.667,9.123,6
Z3,A313A,9,8.143,17.659,7
Z3,A317A,12,8.714,9.483,7
Z3,A318A,-6,-5.286,7.959,7
Z3,A319A,-2,0.571,5.368,7
Z3,A331A,1.5,-6.8,17.696,10
Z3,A332A,0.5,-3.5,16.421,10
Z3,A333A,10,12,15.395,8
Z3,A334A,1.5,1.5,11.662,8
Z3,A335A,0.5,-0.5,9.192,8
Z3,A336A,-2,-5.111,14.541,9
Z3,A337A,-13,-6.778,13.214,9
Z3,A338A,1,-0.444,6.002,9
Z3,A339A,-35,-30.333,29.579,3
Z3,A350A,-4,-4,0,1
Z3,A351B,-12,-15.8,14.648,5
Z3,A352A,7,7,13,2
Z3,A353A,3,3.6,6.184,5
Z3,A354A,6.5,6.5,6.602,6
Z3,A355A,10,10,9,2
Z3,A356A,31,27.5,9.179,4
Z3,A357B,10,10,0,1
ZS,D001,-17,-17,4.528,4
ZS,D002,-9,-11.25,14.158,8
ZS,D003,-24,-34.667,36.709,3
ZS,D004,-1,3,13.865,8
ZS,D005,-22,-17,7.071,3
ZS,D006,-7,-5.286,13.729,7
ZS,D007,16,3.25,26.29,4
ZS,D009,-2,-2.75,6.418,4
ZS,D010,2,0,7.403,5
ZS,D011,-1,3,17.72,5
ZS,D012,-6,-9.4,5.004,5
ZS,D013,-1,0.625,12.835,8
ZS,D014,-5,-6.6,14.719,5
ZS,D015,7,7,1,2
ZS,D017,-3,-3.692,14.515,13
ZS,D018,-5.5,-3.1,8.13,10
ZS,D019,-4,1,12.629,12
ZS,D020,1,-1.25,7.395,4
ZS,D021,-9,-11,9.092,3
ZS,D022,6,5.167,4.81,6
ZS,D023,10,9.25,10.56,12
ZS,D024,2,-0.846,8.132,13
ZS,D025,8,8.429,10.861,7
ZS,D026,-3,-2.111,5.839,9
ZS,D027,0,0,2,2
